MeasureItem;MeasureItemCategoryID;MeasureItemID;Category;Country;Year;LengthOfCircuits;LengthOfRoutes;NumberOfUnits;ProvidedValue;CreationDate;ProvidedValueCode
Inventory of Transmission;5;411;Of_PU_>330kV;ES;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;412;Of_PU_>275kV;ES;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;ES;2022;;;62;7.974;08/06/2023;
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;ES;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;415;Nw_400kV_330kV;ES;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;ES;2022;;;157;85.015;08/06/2023;
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;ES;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;ES;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;ES;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;ES;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;ES;2022;;;62;7.974;08/06/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;ES;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;ES;2022;;;;*Estimation of the Length of Routes. Includes RE assets on a national scope.;08/06/2023;
Inventory of Transmission;5;425;Comments_2;ES;2022;;;;*Estimation of the Length of Routes. Includes RE assets on a national scope.;08/06/2023;
Inventory of Transmission;5;426;Comments_3;ES;2022;;;;*Estimation of the Length of Routes. Includes RE assets on a national scope.;08/06/2023;
Inventory of Transmission;5;427;Comments_4;ES;2022;;;;*Includes RE assets on a national scope.;08/06/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;FI;2022;16615;15119;;;08/06/2023;
Inventory of Transmission;5;401;ACL_220kV;FI;2022;1061;1061;;;08/06/2023;
Inventory of Transmission;5;402;ACL_275kV;FI;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;FI;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;FI;2022;5742;5316;;;08/06/2023;
Inventory of Transmission;5;405;ACL_750kV;FI;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;406;ACC_220kV_380kV;FI;2022;;;;;08/06/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;FI;2022;;;;;08/06/2023;Not Expected
